Num Graph...........................|...Unid Type  Y/N
  1 Alert storage                    hm3        0    0
  2 Available hydro capacity         MW         0    0
  3 Available thermal capacity       MW         0    0
  4 Historic inflows average         m3/s       0    0
  5 Inflows                          m3/s       0    0
  6 Load per system - inelastic      GWh        0    0
  7 Load per bus - inelastic         GWh        0    0
  8 Maximum storage                  hm3        0    0
  9 Maximum stored energy            GWh        0    0
 10 Maximum total outflow            m3/s       0    0
 11 Maximum turbined outflow         m3/s       0    0
 12 Minimum security storage         hm3        0    0
 13 Minimum total outflow            m3/s       0    0
 14 Minimum turbined outflow         m3/s       0    0
 15 Deficit cost                     k$         1    0
 16 Flag for bus deficit             0/1        1    0
 17 Flag for qmin violation          0/1        1    0
 18 Flag for system deficit          0/1        1    0
 19 Penalty cost of spillage         k$/hm3     1    0
 20 Thermal operating cost           k$         1    0
 21 Viol. cost of alert storage      k$/hm3     1    0
 22 Viol. cost of max.tot.outflow    k$         1    0
 23 Viol. cost of min.sec.storage    k$/hm3     1    0
 24 Viol. cost of min.tot.outflow    k$         1    0
 25 Circuit flow                     MW         2    0
 26 Deficit                          GWh        2    0
 27 Deficit per bus                  GWh        2    0
 28 Export&Import by area            GWh        2    0
 29 Final head                       m          2    0
 30 Final storage                    hm3        2    0
 31 Fuel consumption                 Mil.uni    2    0
 32 Fuel consumption rate            un/hrs     2    0
 33 Hydro generation                 GWh        2    0
 34 Interconnection flow             GWh        2    0
 35 Spilled outflow                  m3/s       2    0
 36 Stored energy                    GWh        2    0
 37 Thermal generation               GWh        2    0
 38 Turbined outflow                 m3/s       2    0
 39 Bus marginal cost                $/MWh      3    0
 40 Circuit capacity marg. cost      k$/MW      3    0
 42 Interconnection marginal cost    k$/MW      3    0
 43 Load marginal cost               $/MWh      3    0
 44 Marginal cost of fuel cons.      $/un       3    0
 45 Marginal cost of fuel rate       k$/un/h    3    0
 46 Marginal value of water          k$/hm3     3    0
 47 Reservoir capacity marg.cost     k$/hm3     3    0
 48 Ro marginal cost ($/MWh/hm3)     $/ro       3    0
 49 Thermal capacity marg. cost      k$/MW      3    0
 50 Turbine capacity marg. cost      k$/m3/s    3    0
 51 Load marg. cost - single bus     $/MWh      3    0
 52 VERE                             %          1    0
 53 VEREC (1.5%)                     %          1    0
 54 Maximum flow                     MW         0    0
 55 Start-up cost                    k$         1    0
 56 Hydro Gen. x Bus MargCost        k$         1    0
 57 Therm Gen. x Bus MargCost        k$         1    0
 58 Hydro Gen. x SingBusMargCst      k$         1    0
 59 Therm Gen. x SingBusMargCst      k$         1    0
 60 Circuit income                   k$         1    0
 61 Inflow energy per system         GWh        0    0
 62 Hydro generation - single bus    GWh        2    0
 63 Therm generation - single bus    GWh        2    0
 64 Total income - single bus        k$         1    0
 65 Total income - multinodal        k$         1    0
 66 Load level length                h          0    0
 67 Production factor                MW/m3/s    2    0
 68 Circuit losses                   MW         2    0
 69 Minimum thermal generation       MW         0    0
 70 Circuit flag                     0/1        0    0
 71 Opportunity Cost Hydro Gener.    $/MWh      3    0
 72 Nominal hydro capacity           MW         0    0
 73 Interconnection capacity         MW         0    0
 74 Interconnection income           k$         1    0
 75 Hydro operating cost             k$         1    0
 76 Thermal plt. unit cost - seg. 1  $/MWh      0    0
 77 Thermal plt. unit cost - seg. 2  $/MWh      0    0
 78 Thermal plt. unit cost - seg. 3  $/MWh      0    0
 79 Start-up Cost Data               k$         0    0
 80 System Spilled energy            GWh        2    0
 81 Hydro Forced Outage Rate         %          0    0
 82 Thermal Forced Outage Rate       %          0    0
 83 Num.of operating hydro units           0    0    0
 84 Num.of operating thermal units         0    0    0
 85 Hydro gen. - circuit outage      GWh        2    0
 86 Thermal gen.- circuit outage     GWh        2    0
 87 Bus marg. cost - circuit outage  $/MWh      3    0
 88 Bus deficit - circuit outage     GWh        2    0
 89 Export&Import limits per area    MW         0    0
 90 Flood control storage            hm3        0    0
 91 Nominal thermal capacity         MW         0    0
 92 Hydro Composite Outage Rate      %          0    0
 93 Thermal Composite Outage Rate    %          0    0
 94 Generation constraints           MW         0    0
 95 Bus voltage angle                Grado      2    0
 96 Thermal spinning reserve         MW         0    0
 97 Reference Inflow Energy          GWh        0    0
 99 Turbinable Spilled Energy        GWh        2    0
100 Violation cost of min. turb.     k$         1    0
101 Generation reserve limit         MW         0    0
102 Generation reserve               MW         2    0
103 Marg. cost generation reserve    k$/MW      3    0
104 Irrigation                       m3/s       0    0
